Year,Population
1790,3.929326
1800,5.308483
1810,7.239881
1820,9.638453
1830,12.86602
1840,17.069453
1850,23.191876
1860,31.443321
1870,39.818449
1880,50.189209
1890,62.947714
1900,76.212168
1910,92.228496
1920,106.021537
1930,122.775046
1940,132.164569
1950,150.697361
1960,179.323175
1970,203.302031
1980,226.545805
1990,248.709873
2000,281.421906
2010,308.745538
